run_type,param2,param3,weights,model_setting,model,mae_raw,mae_weighted,crps_raw,crps_weighted,mae_improvement_pct,crps_improvement_pct
calibration,0.5,0.6,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.553654552218917,2.6752354844264814,2.2451615510921217,12.782444355850714,13.666595612953698
calibration,0.5,0.65,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.54565262766457,2.6752354844264814,2.242205466650407,12.883186716752398,13.759598382795177
calibration,0.5,0.7,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.538044039477911,2.6752354844264814,2.2396874099974675,12.978577279493955,13.838274578229163
calibration,0.5,0.8,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.525517212246765,2.6752354844264814,2.2354793588460335,13.13818582953235,13.969284824287099
calibration,0.5,0.9,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.518047788149843,2.6752354844264814,2.232588091255034,13.231421633470632,14.058924062116084
calibration,0.5,1.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.509933431371441,2.6752354844264814,2.230416471315416,13.329582172068058,14.124395237931935
calibration,0.5,1.25,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.497613281017243,2.6752354844264814,2.227556291045008,13.47883883274523,14.204602122108954
calibration,0.5,1.5,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.4919049743047434,2.6752354844264814,2.226580361536401,13.539788823025166,14.223792795630654
calibration,0.5,2.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.488877425816178,2.6752354844264814,2.227298051181419,13.554938692024137,14.185688689734139
calibration,0.5,3.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.490028936742835,2.6752354844264814,2.231966303620849,13.52434699134867,14.013220126754772
calibration,0.5,4.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.498532516383645,2.6752354844264814,2.238205274574588,13.392653788478182,13.792379415272217
calibration,0.5,5.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.507550692623361,2.6752354844264814,2.2446792349661226,13.259206726717725,13.56585487481976
calibration,0.5,6.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.517647502762521,2.6752354844264814,2.2511136992047556,13.114765940951372,13.34179063729539
calibration,0.75,0.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.81235419871018,2.6752354844264814,2.390087772405378,9.520784643728012,9.01894373480109
calibration,0.75,0.05,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.744982009524457,2.6752354844264814,2.3625728404541584,10.351484873817546,9.85555508498685
calibration,0.75,0.1,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.6904672512855745,2.6752354844264814,2.3418739078878006,11.032324552312552,10.492110522083253
calibration,0.75,0.15,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.648991747214125,2.6752354844264814,2.3263980748071993,11.550905959312123,10.970832266740388
calibration,0.75,0.2,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.621442499318406,2.6752354844264814,2.315363412831298,11.893965686365997,11.313016578917177
calibration,0.75,0.25,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.5982734863346435,2.6752354844264814,2.3064373863876004,12.191642277248384,11.593748923407322
calibration,0.75,0.3,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.579978089867169,2.6752354844264814,2.2997485317964173,12.420711657186423,11.802101196306758
calibration,0.75,0.35,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.565510574647673,2.6752354844264814,2.2948252933807183,12.605994235907902,11.956817606134745
calibration,0.75,0.4,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.5550247368700525,2.6752354844264814,2.2907871908137136,12.74131915070814,12.086328241177279
calibration,0.75,0.45,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.546833177897915,2.6752354844264814,2.2875076522635576,12.839471514639163,12.187904100239304
calibration,0.75,0.5,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.5394310295649,2.6752354844264814,2.2847859638125567,12.934417440455112,12.272208718948542
calibration,0.75,0.55,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.530794943508463,2.6752354844264814,2.282326153228977,13.047394393684137,12.348648556755949
calibration,0.75,0.6,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.525818568330739,2.6752354844264814,2.280482082260644,13.109253442017602,12.405599810398172
calibration,0.75,0.65,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.519947365198485,2.6752354844264814,2.278812588382228,13.182624829600801,12.456405878885654
calibration,0.75,0.7,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.515480019930737,2.6752354844264814,2.277602005188684,13.236878147610895,12.491751317397537
calibration,0.75,0.8,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.510036278577866,2.6752354844264814,2.275545418602594,13.30343857890571,12.553425753022541
calibration,0.75,0.9,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.506784039163162,2.6752354844264814,2.2744453819955015,13.342328546513501,12.585852912255723
